selector,file,action,reason,original_declarations,new_declarations
.tab-count,pages/schools_students/students/student-details.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'border-radius', 'color', 'font-size', 'font-weight', 'min-width', 'padding', 'text-align'] from lower-priority definition","background-color: rgba(255, 255, 255, 0.2); border-radius: var(--border-radius-full); color: inherit; font-size: var(--font-size-xs); font-weight: var(--font-weight-bold); line-height: 1; min-width: 24px; padding: var(--spacing-1) var(--spacing-2); text-align: center",line-height: 1
.tab-button--active .tab-count,pages/schools_students/students/student-details.css,dropped (covered by higher priority),.tab-button--active .tab-count in pages/schools_students/students/student-details.css fully subset of accumulated higher-priority declarations,"background-color: rgba(255, 255, 255, 0.3)",
"/* ========================================
   YEAR FILTER
======================================== */

.year-filter",pages/schools_students/students/student-details.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'display', 'gap'] from lower-priority definition",align-items: center; display: flex; flex-shrink: 0; gap: var(--spacing-3),flex-shrink: 0
.year-filter__label,pages/schools_students/students/student-details.css,trimmed (overlap removed),"Removed overlapping properties ['color', 'font-size', 'font-weight', 'white-space'] from lower-priority definition",align-items: center; color: var(--color-text-primary); display: flex; font-size: var(--font-size-sm); font-weight: var(--font-weight-medium); gap: var(--spacing-2); white-space: nowrap,align-items: center; display: flex; gap: var(--spacing-2)
.year-filter__select,pages/schools_students/students/student-details.css,dropped (covered by higher priority),.year-filter__select in pages/schools_students/students/student-details.css fully subset of accumulated higher-priority declarations,background-color: var(--color-white); border: 1px solid var(--color-border); border-radius: var(--border-radius-md); color: var(--color-text-primary); font-size: var(--font-size-sm); min-width: 140px; padding: var(--spacing-2) var(--spacing-3); transition: all var(--transition-fast),
.year-filter__select:focus,features/student-tabs.css,trimmed (overlap removed),Removed overlapping properties ['outline'] from lower-priority definition,outline: 2px solid var(--color-primary); outline-offset: 2px,outline-offset: 2px
.year-filter__select:focus,pages/schools_students/students/student-details.css,dropped (covered by higher priority),.year-filter__select:focus in pages/schools_students/students/student-details.css fully subset of accumulated higher-priority declarations,border-color: var(--color-primary); box-shadow: 0 0 0 2px var(--color-primary-light); outline: none,
"/* ========================================
   TAB CONTENT
======================================== */

.tab-content",pages/schools_students/students/student-details.css,trimmed (overlap removed),"Removed overlapping properties ['min-height', 'padding'] from lower-priority definition",border-top: 1px solid var(--color-border-light); min-height: 200px; padding: var(--spacing-6),border-top: 1px solid var(--color-border-light)
.tab-panel__header,features/student-tabs.css,trimmed (overlap removed),Removed overlapping properties ['align-items'] from lower-priority definition,align-items: stretch; flex-direction: column,flex-direction: column
.record-item,features/student-tabs.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-4),
.record-item__header,features/student-tabs.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'gap'] from lower-priority definition",align-items: stretch; flex-direction: column; gap: var(--spacing-2),flex-direction: column
.tab-loading__spinner,features/student-tabs.css,trimmed (overlap removed),Removed overlapping properties ['animation'] from lower-priority definition,animation: none,
to,utilities/animations.css,dropped (same-priority subset),to in utilities/animations.css is strict subset of same-priority utilities/animations.css,opacity: 1,
to,utilities/animations.css,dropped (covered by higher priority),to in utilities/animations.css fully subset of accumulated higher-priority declarations,opacity: 1; transform: translateY(0),
to,utilities/animations.css,trimmed (overlap removed),"Removed overlapping properties ['opacity', 'transform'] from lower-priority definition",opacity: 1; transform: translateX(0),
to,utilities/animations.css,trimmed (overlap removed),"Removed overlapping properties ['opacity', 'transform'] from lower-priority definition",opacity: 1; transform: translateX(0),
to,utilities/animations.css,trimmed (overlap removed),Removed overlapping properties ['transform'] from lower-priority definition,transform: rotate(360deg),
to,utilities/animations.css,trimmed (overlap removed),Removed overlapping properties ['opacity'] from lower-priority definition,opacity: 0,
to,features/student-tabs.css,dropped (covered by higher priority),to in features/student-tabs.css fully subset of accumulated higher-priority declarations,opacity: 1; transform: translateY(0),
to,pages/dashboard.css,dropped (covered by higher priority),to in pages/dashboard.css fully subset of accumulated higher-priority declarations,opacity: 1; transform: translateY(0),
to,pages/auth.css,dropped (covered by higher priority),to in pages/auth.css fully subset of accumulated higher-priority declarations,opacity: 1; transform: translateY(0),
to,pages/auth.css,dropped (covered by higher priority),to in pages/auth.css fully subset of accumulated higher-priority declarations,opacity: 1; transform: translateY(0),
to,pages/schools_students/management.css,dropped (covered by higher priority),to in pages/schools_students/management.css fully subset of accumulated higher-priority declarations,opacity: 1; transform: translateY(0),
to,pages/schools_students/create-forms.css,dropped (covered by higher priority),to in pages/schools_students/create-forms.css fully subset of accumulated higher-priority declarations,opacity: 1; transform: translateY(0),
to,pages/schools_students/students/students.css,dropped (covered by higher priority),to in pages/schools_students/students/students.css fully subset of accumulated higher-priority declarations,opacity: 1; transform: translateY(0),
to,pages/integration/integration.css,trimmed (overlap removed),Removed overlapping properties ['transform'] from lower-priority definition,transform: rotate(360deg),
"}

@keyframes spin",pages/schools_students/create-forms.css,dropped (covered by higher priority),"}

@keyframes spin in pages/schools_students/create-forms.css fully subset of accumulated higher-priority declarations","0% {
    transform: rotate(0deg)",
